name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index
"謝延恩 |
 楊延道","? |
 ?","江蘇省 |
 貴州省","總漕部院衙門 山東衛所 |
 鎭遠府 ?","守禦千總 |
 偏橋司右司","監生 |
 ?","通州 順天 |
 長安 陝西",0,"1858.75 |
 1858.75",1537964
"曹貽慶 |
 曹翊","桐軒 |
 ?","京師 |
 江西省","光祿寺衙門 額外司員 |
 南昌府 ?","署正太官署兼典簿廳行走 |
 教授","監生 |
 舉人","江夏 湖北 |
 九江 ?",0,"1862.25 |
 1864.0",1869386
"唐廷綸 |
 陳棠","? |
 ?","浙江省 |
 湖北省","紹興府 ? |
 鄖陽府 竹谿縣","教授 |
 典史","進士 |
 ?","杭州 ? |
 會稽 浙江",0,"1850.5 |
 1851.25",741487
"沈松齢 |
 沈崧曾","? |
 ?","山東省 |
 四川省","東昌府 恩縣 |
 綏定府 渠縣","縣丞駐四女寺 |
 知縣","監生 |
 舉人","仁和 浙江 |
 烏程 浙江",0,"1859.5 |
 1860.25",1428797
"徐樹銘 |
 徐樹","? |
 ?","福建省 |
 山東省","? ? |
 沂州府 蒙陰縣","欽命兵部左侍郎提督福建全省學政 |
 典史","? |
 監生","長沙 湖南 |
 如皋 江蘇",0,"1860.25 |
 1860.5",2281287
"張傳敬 |
 張毓川","? |
 ?","福建省 |
 京師","漳州府 平和縣 |
 吏部衙門 筆帖式","縣丞駐南勝 |
 筆帖式","監生 |
 ?","桐城 安徽 |
 ? ?",0,"1856.75 |
 1856.75",932945
"曾兆鰲 |
 許兆培","? |
 ?","京師 |
 京師","刑部衙門 額外司員 |
 刑部衙門 江西司","主事 |
 主事","? |
 ?","閩縣 福建 |
 溧陽 江蘇",0,"1854.75 |
 1854.75",322519
"樊琨 |
 杜來錫","? |
 ?","河南省 |
 京師","河南府 ? |
 工部衙門 額外司員","知府 |
 主事","舉人 |
 ?","咸甯 湖北 |
 新鄕 河南",0,"1858.75 |
 1859.5",1594084
"蔡延鴻 |
 徐延勳","? |
 ?","山東省 |
 浙江省","沂州府 沂水縣 |
 甯波府 ?","復設教諭 |
 經厯","附貢 |
 監生","萊州 ? |
 呉縣 江蘇",0,"1864.0 |
 1864.0",1780893
"李德增 |
 李德金","? |
 茂堂","京師 |
 京師","工部衙門 額外司員 |
 太醫院衙門 九品吏目","主事 |
 空白","? |
 ?","寳坻 順天 |
 宛平 順天",0,"1858.75 |
 1859.25",1508791
"孫觀 |
 孫楫","? |
 ?","京師 |
 京師","都察院衙門 兵科 |
 內閣衙門 侍讀","給事中 |
 四川副主考侍讀","? |
 ?","桐城 安徽 |
 濟甯州 山東",0,"1855.5 |
 1855.5",149746
"高棠 |
 湯銘","? |
 ?","直隸省 |
 甘肅省","正定府 晉州 |
 平凉府 静寕州","吏目 |
 吏目","供事 |
 吏員","貴池 安徽 |
 通州 順天",0,"1856.0 |
 1856.75",1010657
"沈兆蓉 |
 趙溶","? |
 ?","浙江省 |
 山東省","台州府 臨海縣 |
 濟甯州 魚臺縣","復設訓導 |
 知縣","附貢 |
 供事","杭州 ? |
 歸安 浙江",0,"1862.25 |
 1863.0",1919573
"李申先 |
 李愼","? |
 ?","京師 |
 京師","禮部衙門 額外司員 |
 工部衙門 額外司員","主事 |
 主事","? |
 ?","劍州 四川 |
 ? ?",0,"1854.75 |
 1855.5",318120
"鍾翕 |
 鍾齢","? |
 ?","江西省 |
 京師","臨江府 ? |
 太醫院衙門 九品吏目","復設訓導 |
 空白","嵗貢 |
 ?","南安 ? |
 宛平 順天",0,"1864.0 |
 1864.0",1733045
"胡煊 |
 胡齢","? |
 ?","四川省 |
 江蘇省","保甯府 南江縣 |
 常州府 無錫縣","復設教諭 |
 縣丞","廪貢 |
 監生","嘉定 ? |
 桐城 安徽",0,"1860.25 |
 1860.5",2345804
"單延誥 |
 顔培高","? |
 ?","江蘇省 |
 江西省","揚州府 江都縣 |
 撫州府 ?","萬壽司巡檢 |
 粮補通判","監生 |
 監生","婺源 安徽 |
 連平洲 廣東",0,"1860.25 |
 1860.5",2256106
"丁樹勳 |
 丁夀昌","? |
 ?","山西省 |
 京師","蒲州府 芮城縣 |
 戶部衙門 額外司員","知縣 |
 主事貴州司兼雲南司行走","? |
 ?","長興 浙江 |
 山陽 江蘇",0,"1856.75 |
 1857.0",971429
"李昌年 |
 李念静","介眉 |
 ?","京師 |
 江蘇省","光祿寺衙門 額外司員 |
 總漕部院衙門 浙江衛所","署正 |
 領運千總","監生 |
 監生","金谿 江西 |
 ? 山西",0,"1859.5 |
 1860.25",1336805
"張允熙 |
 張畇","? |
 林西","京師 |
 河南省","吏部衙門 額外司員 |
 按察司衙門 ?","主事 |
 河南通省粮儲塩法道專管粮塩事務","? |
 舉人","灃州 湖南 |
 景州 直隸",0,"1855.5 |
 1855.5",138969
"劉成忠 |
 劉誠篤","? |
 ?","京師 |
 雲南省","翰林院衙門 翰林院編修 |
 廣南府 寳甯縣","? |
 典史","? |
 吏員","丹徒 江蘇 |
 富陽 陝西",0,"1854.75 |
 1855.5",311193
"何鏞 |
 何仁鏡","? |
 ?","山東省 |
 廣東省","靑州府 臨朐縣 |
 羅定直隸州 ?","知縣 |
 學正","監生 |
 舉人","大興 順天 |
 廣州府 ?",0,"1857.5 |
 1857.75",1207571
"郭象晉 |
 郭鑑襄","? |
 ?","廣東省 |
 京師","肇慶府 恩平縣 |
 戶部衙門 額外司員","知縣 |
 主事","優貢 |
 ?","天津 直隷 |
 鐡嶺 奉天",0,"1854.75 |
 1855.0",460644
"任文甲 |
 黄家仁","? |
 ?","山東省 |
 廣東省","臨淸直隸州 ? |
 嘉應州 興甯縣","學正 |
 知縣","舉人 |
 ?","東昌府 ? |
 凌雲 廣西",0,"1856.0 |
 1856.25",1041257
"周德耀 |
 周至德","? |
 ?","江西省 |
 貴州省","建昌府 廣昌縣 |
 都匀府 ?","典史 |
 敎授","監生 |
 擧人","番禺 廣東 |
 安順府 ?",0,"1851.75 |
 1852.75",641350
"惲炘 |
 夏炘","? |
 ?","山西省 |
 安徽省","河東塩務屬官 ? |
 徽州府 婺源縣","塩池巡檢 |
 教諭","議叙 |
 擧人","涿州 順天 |
 太平 ?",0,"1855.5 |
 1855.75",249235
"王冕 |
 黄冕","? |
 ?","河南省 |
 江西省","汝寕府 商城縣 |
 吉安府 ?","復設訓導 |
 知府","擧人 |
 監生","? 河南 |
 長沙 湖南",0,"1856.75 |
 1857.5",955862
"沈文儀 |
 沈大謨","? |
 ?","直隷省 |
 京師","順天府 宛平縣 |
 翰林院衙門 翰林院檢討","北路司獄 |
 ?","吏員 |
 ?","山隂 浙江 |
 長安 陝西",0,"1850.5 |
 1850.5",693552
"張紋植 |
 張志","? |
 ?","山東省 |
 甘肅省","濟南府 德平縣 |
 鞏昌府 秦安縣","訓導 |
 訓導","擧人 |
 拔貢","武定 ? |
 慶陽府 ?",0,"1856.75 |
 1856.75",957639
"林鏞 |
 銭桂森","? |
 ?","貴州省 |
 京師","安順府 淸鎮縣 |
 翰林院衙門 翰林院編修","典史 |
 空白","供事 |
 ?","通州 順天 |
 泰州 江蘇",0,"1860.25 |
 1860.25",2379801
"程守忠 |
 姬守禮","? |
 前然","廣東省 |
 京師","廣州府 連州 |
 翰林院衙門 翰林院五經博士","朱岡司巡檢 |
 ?","監生 |
 ?","桐城 安徽 |
 咸陽 陝西",0,"1852.75 |
 1852.75",104059
"岳奎齡 |
 何樾","? |
 ?","直隸省 |
 廣西省","順天府 永淸縣 |
 慶遠府 天河縣","北岸五工管河縣丞 |
 典史","吏員 |
 監生","江夏 湖北 |
 祥符 河南",0,"1862.25 |
 1862.25",1877517
"張毓麟 |
 張豫","? |
 ?","廣西省 |
 湖南省","太平府 憑祥州 |
 常德府 武陵縣","州判 |
 大龍司巡檢兼馹務","監生 |
 監生","奉節 四川 |
 當塗 安徽",0,"1864.0 |
 1864.0",1830882
"王有桂 |
 程有玉","? |
 ?","福建省 |
 廣東省","泉州府 晉江縣 |
 羅定州 西甯縣","教諭 |
 典史","舉人 |
 附監","福州 ? |
 永康 浙江",0,"1860.25 |
 1860.5",2282717
"何秀廷 |
 朱廷貴","? |
 ?","四川省 |
 浙江省","重慶府 ? |
 金華府 浦江縣","江北訓導 |
 典史","舉人 |
 監生","叙州 ? |
 長洲 江蘇",0,"1860.25 |
 1860.25",2347841
"陶黼昌 |
 徐濤","? |
 ?","江西省 |
 直隸省","南昌府 靖安縣 |
 承德府 滦平縣","知縣 |
 巡檢管典史事","貢生 |
 供事","漢陽 湖北 |
 山陰 浙江",0,"1864.0 |
 1864.0",1728908
"譚遐齡 |
 曹餘慶","? |
 ?","山東省 |
 京師","兖州府 至聖廟官 |
 刑部衙門 額外司員","典籍借補伴官 |
 七品小京官","? |
 拔貢","臨榆 直隸 |
 揚州 江蘇",0,"1864.0 |
 1864.0",1778854
"黄芳 |
 凌晃","? |
 ?","江蘇省 |
 山西省","蘇州府 ? |
 大同府 山陰縣","上海同知 |
 典史","? |
 監生","長沙 湖南 |
 番禹 廣東",0,"1858.75 |
 1859.25",1534061
"姜吉瑞 |
 姜緝熙","? |
 ?","貴州省 |
 陝西省","興義府 貞豊州 |
 綏德州 呉堡縣","學正 |
 教諭","舉人 |
 舉人","黎平 ? |
 西安 ?",0,"1859.5 |
 1859.5",1487955
"黄彭年 |
 彭開桂","? |
 ?","京師 |
 江蘇省","翰林院衙門 翰林院編修 |
 總漕部院衙門 江南衛所","空白 |
 領運千總","? |
 武舉","貴筑 貴州 |
 ? 江西",0,"1858.75 |
 1859.25",1492491
"孔繼元 |
 孔繼貞","? |
 ?","山東省 |
 廣東省","兖州府 曲阜縣 |
 嘉應州 鎭平縣","八品執事官 |
 訓導","? |
 舉人","? ? |
 廣州 ?",0,"1858.75 |
 1859.25",1602128
"熊夀山 |
 朱綬","子靜 |
 ?","廣西省 |
 江西省","慶遠府 思恩縣 |
 甯都州 ?","知縣 |
 吏目","增貢 |
 議敘","安義 江西 |
 長安 陝西",0,"1860.75 |
 1862.25",2184212
"梅宗望 |
 徐良梅","? |
 暁春","直隷省 |
 廣東省","永平府 遷安縣 |
 惠州府 永安縣","典史 |
 知縣","監生 |
 ?","上元 江蘇 |
 貴筑 貴州",0,"1851.75 |
 1852.75",507908
"龔芑英 |
 祁瀛山","? |
 ?","江蘇省 |
 山西省","常州府 陽湖縣 |
 朔平府 左雲縣","復設訓導 |
 典史","舉人 |
 吏員","太倉州 ? |
 懷來 直隸",0,"1864.0 |
 1864.0",1716648
"史鴻誥 |
 周鴻基","? |
 ?","直隸省 |
 雲南省","廣平府 成安縣 |
 曲靖府 平彜縣","訓導 |
 典史","舉人 |
 監生","順天 ? |
 新都 四川",0,"1859.5 |
 1859.5",1354432
"姚熊飛 |
 周兆熊","? |
 ?","江南省 |
 江西省","鎭江府 ? |
 贛州府 石城縣","請旨分巡常鎭通海等處地方兵備道兼管河務 |
 知縣","進士 |
 進士","葢平 奉天 |
 上林 廣西",0,"1851.75 |
 1851.75",520520
"施紹文 |
 邵文煥","介臣 |
 ?","廣東省 |
 山東省","韶州府 曲江縣 |
 靑州府 臨朐縣","知縣 |
 穆陵関巡檢","進士 |
 監生","横州 廣東 |
 大興 順天",0,"1855.5 |
 1855.75",281511
"黄慶元 |
 黄慶蘐","? |
 ?","廣東省 |
 廣東省","瓊州府 ? |
 肇慶府 高要縣","鎭守廣東雷瓊水師等處地方總兵官 |
 知縣","行伍 |
 ?","? 廣東 |
 大興 順天",0,"1851.75 |
 1852.75",588018
"毛宗德 |
 章懋德","? |
 ?","湖南省 |
 江西省","長沙府 益陽縣 |
 吉安府 廬陵縣","典史 |
 典史","供事 |
 供事","新昌 江西 |
 貴池 安徽",0,"1854.75 |
 1855.0",398760
"梅錦堂 |
 萬樹梅","? |
 ?","四川省 |
 山東省","嘉定府 ? |
 泰安府 東阿縣","經歷兼管批驗所大使 |
 縣丞","貢生 |
 附生","長安 陝西 |
 景州 直隷",0,"1850.5 |
 1850.5",820176
"許貴 |
 許淸貴","? |
 ?","京師 |
 甘肅省","翰林院衙門 翰林院編修 |
 鎭西廰 ?","翰林院編修 |
 鎭西撫民同知","? |
 ?","涇陽 陝西 |
 ? ?",0,"1862.25 |
 1864.0",1846576
"朱瀛洲 |
 程瀛","? |
 ?","廣西省 |
 江蘇省","桂林府 永福縣 |
 常州府 靖江縣","典史 |
 東來港巡檢","供事 |
 監生","宛平 順天 |
 全椒 安徽",0,"1856.0 |
 1856.75",1128638
"孫淑芳 |
 顓孫樹勳","? |
 ?","山東省 |
 京師","東昌府 博平縣 |
 翰林院衙門 翰林院五經博士","復設教諭 |
 ?","擧人 |
 ?","萊州 ? |
 蕭縣 江蘇",0,"1854.75 |
 1854.75",421386
"李增秩 |
 李之琛","? |
 ?","山西省 |
 湖北省","布政司衙門 ? |
 黄州府 廣濟縣","豊瞻庫大使 |
 教諭","監生 |
 擧人","大興 順天 |
 漢陽府 ?",0,"1852.75 |
 1854.0",70457
"夏昌霖 |
 夏陳常","? |
 ?","廣西省 |
 湖南省","柳州府 羅城縣 |
 郴州 桂陽縣","武陽鎭巡検 |
 復設教諭","監生 |
 擧人","錢塘 浙江 |
 寳慶府 ?",0,"1850.5 |
 1850.5",833478
"陳廷弼 |
 侯廷弼","? |
 ?","湖南省 |
 盛京","靖州 ? |
 工部衙門 ?","零溪司巡檢 |
 五品官","監生 |
 ?","清江 江西 |
 ? ?",0,"1850.5 |
 1851.25",767526
"陸錫曾 |
 劉曾順","? |
 ?","直隸省 |
 雲南省","河間府 東光縣 |
 布政司衙門 ?","管河主簿 |
 經厯","監生 |
 監生","桐鄉 浙江 |
 陽湖 江蘇",0,"1859.5 |
 1860.25",1349716
"呉式芬 |
 呉式訓","? |
 ?","京師 |
 直隸省","內閣衙門 內閣學士 |
 冀州 新河縣","內閣學士兼禮部侍郎浙江學政 |
 知縣","? |
 舉人","海豐 山東 |
 海豊 山東",0,"1855.5 |
 1855.5",132031
"林懋森 |
 林桐","? |
 ?","山東省 |
 湖南省","兖州府 曲阜縣 |
 郴州直隸州 興甯縣","鄆城屯屯官 |
 典史","? |
 供事","黄縣 山東 |
 大興 順天",0,"1857.5 |
 1857.5",1202524
"蔡承啟 |
 蔡承啟","? |
 ?","直隸省 |
 直隸省","天津府 靜海縣 |
 天津府 靜海縣","管河主簿 |
 管河主簿","監生 |
 監生","嘉興 浙江 |
 嘉善 浙江",1,"1859.5 |
 1859.75",1350494
"趙彰經 |
 鄭傳經","? |
 ?","廣西省 |
 廣東省","柳州府 ? |
 南雄州 ?","敎授 |
 平田司巡檢","舉人 |
 吏員","桂林 ? |
 祥符 河南",0,"1858.75 |
 1859.5",1651508
"高行方 |
 方鑑源","? |
 ?","山東省 |
 廣東省","濟南府 禹城縣 |
 高州府 ?","復設教諭 |
 經厯","舉人 |
 監生","萊州府 ? |
 大興 順天",0,"1857.5 |
 1857.75",1199253
